"V1","V2","V3"
"RPAT","2.99999","1.17188"
"RPAT","2.5","1.26953"
"RPAT","2.5","1.26953"
"RPAT","2.5","0.97656"
"RPAT","2.5","0.97656"
"RPAT","2.5","1.26953"
"RPAT","2.5","1.17188"
"RPAT","2","1.17188"
"RPAT","2.5","1.26953"
"RPAT","2.5","1.17188"
"RPAT","2.5","0.97656"
"RPAT","2.5","1.17188"
"RPAT","2.5","1.17188"
"RPAT","2","1.17188"
"RPAT","2.5","0.97656"
"RPAT","2.5","1.26953"
"RPAT","2.5","1.26953"
"RPAT","2.5","1.26953"
"RPAT","2.5","1.17188"
"RPAT","2.5","1.26953"
