"name","slice","area","peri","radMean","radSD","radMin","radMax","centsize","sphericity","convexity","roundness","calliper","circularity","eccentricityboundingbox","eccentricityeigen","elongation","length","rectangularity","solidity","width","rectilinearity"
"Kidney_L_mask_RPAT_Cervix0070.mat","54/192","2358.647446332","155.86004","27.5827315834366","2.62136484314276","22.4749902228402","32.2775268668451","27.6956964833974","0.696304593457752","0.94966725397441","0.683423016714007","63.681731875658","0.879711535509265","0.799453862420237","0.698504379447415","0.200546137579763","62.9124873453705","0.745411199126919","0.97640704945992","50.2956310027208","0.204993485585354"
"Kidney_L_mask_RPAT_Cervix0070.mat","55/192","2248.78322758","148.82876","26.9169638186953","2.33871426452814","22.6492168363409","31.5942308790242","27.0084682572191","0.716878246635147","0.952508478073798","0.684433467702181","62.2862763751374","0.886366777111353","0.812199702236049","0.730191909690698","0.187800297763951","61.2758569551491","0.737404833878523","0.979952124476361","49.7682327732308","0.282808913582876"
"Kidney_L_mask_RPAT_Cervix0070.mat","56/192","2160.2052012112","145.31312","26.3713955457768","1.97298271911965","22.5685720147081","30.2221673158959","26.4445600551461","0.746755577745668","0.963400356871905","0.692187809581888","60.0524186068671","0.917610582897534","0.844138678337876","0.755597021155165","0.155861321662124","58.1074129256796","0.757910854983027","0.984355444305382","49.0507147487164","0.243714796429439"
"Kidney_L_mask_RPAT_Cervix0070.mat","57/192","2066.1339639048","144.14124","25.7309707862027","1.51541363103038","22.5216903756306","28.6501452629083","25.7742329235737","0.786093409613113","0.958000701188788","0.697872210062115","57.1464251060659","0.91611637875998","0.881964524212442","0.816611438691331","0.118035475787558","55.4281335752548","0.762512294467793","0.982049608355091","48.8856474566833","0.236525571736882"
"Kidney_L_mask_RPAT_Cervix0070.mat","58/192","1988.5423594112","140.6256","25.2112516596299","1.19665133369658","22.2400424782247","27.4497186664571","25.2460179168883","0.810210215575051","0.959820678106892","0.701407506523403","54.2872698523549","0.924778184417415","0.935453499631847","0.886987986883911","0.0645465003681526","51.38583094612","0.805055599445723","0.985034013605442","48.0690553900385","0.253554288982187"
"Kidney_L_mask_RPAT_Cervix0070.mat","59/192","1825.8059853848","134.7662","24.1383869266274","0.75898209924829","22.5006867320058","25.8160359284194","24.1548143392655","0.87157791360354","0.964205532999847","0.706183535571105","50.4044646697096","0.941291714170462","0.965931345194092","0.931857549826993","0.034068654805908","50.3211162806082","0.74646222306276","0.984797923618836","48.6067435405962","0.228723509979067"
"Kidney_L_mask_RPAT_Cervix0070.mat","60/192","1771.560527376","133.59432","23.7977079494148","0.958808941723904","21.7536053866722","25.8249358558882","23.8149165361292","0.842348864216533","0.96213044768892","0.702686043264198","51.0541730898778","0.933459997783999","0.914820912446989","0.845745514095511","0.0851790875530113","49.7898640615289","0.781156462703451","0.985108820160367","45.5488088713794","0.221978441037319"
"Kidney_L_mask_RPAT_Cervix0070.mat","61/192","1725.5548857736","134.7662","23.5049318846373","1.43288114843329","20.9031537309133","26.6048274554903","23.5386566564079","0.785690257374685","0.959783510004458","0.698858260510952","52.3293956815249","0.925263042705544","0.854597608341945","0.76952962218849","0.145402391658055","51.4615349988411","0.762432906566028","0.983176838810642","43.9789047316149","0.232410721418796"
"Kidney_L_mask_RPAT_Cervix0070.mat","62/192","1651.396538116","132.42244","23.0733386645046","1.7866494980455","20.3467140342557","26.8095617445472","23.127577146614","0.758934973578747","0.947828602425544","0.691853788129983","52.368746028493","0.894387433134938","0.793817928338119","0.68997727999661","0.206182071661881","52.2053461288079","0.763309218768755","0.980831973898858","41.4415397121447","0.218482520932498"
"Kidney_L_mask_RPAT_Cervix0070.mat","63/192","1582.731401396","130.07868","22.6300125198785","2.05937312661451","19.565489720417","26.699879326081","22.7053726912065","0.732793189117713","0.963302820389123","0.684938708913604","52.368746028493","0.915649001284595","0.767104499392285","0.642768321974509","0.232895500607715","52.3287251815596","0.753481128177984","0.984201537147737","40.1416005342368","0.208525099444228"
"Kidney_L_mask_RPAT_Cervix0070.mat","64/192","1394.5889267832","123.0474","21.2564957218753","2.06387492587768","18.3893391724267","25.3195406985633","21.3429510422735","0.726290393311523","0.963616735561036","0.681768554492876","50.1586543820785","0.915186692256125","0.75149107989411","0.622701148826572","0.24850892010589","49.8295423147707","0.747392243208142","0.982583454281567","37.4464565647563","0.256524412280167"
"Kidney_L_mask_RPAT_Cervix0070.mat","65/192","1286.7846621328","119.53176","20.4045832352066","2.04800927911796","17.5892725283359","24.2615071819004","20.492776267233","0.724986803023426","0.960770006419601","0.679560978343233","48.3178502054882","0.909264617916635","0.759714421929389","0.623906340010939","0.240285578070611","48.1448314765151","0.73072869684792","0.980125523012552","36.5763228140685","0.206346768076298"
"Kidney_L_mask_RPAT_Cervix0070.mat","66/192","1192.0267734592","114.84424","19.5989367774744","1.85681351489518","17.1757800300274","23.2581322432209","19.6717269636293","0.738484924344416","0.962296633847709","0.682753372762341","46.1815888263191","0.918271336640157","0.781592667336271","0.64925358737601","0.218407332663729","45.627777848701","0.732566233824127","0.980790960451977","35.6623365933931","0.206598778143693"
"Kidney_L_mask_RPAT_Cervix0070.mat","67/192","1095.208930684","111.3286","18.8312411399897","1.95623881338927","16.14218326029","22.6574264705015","18.9305848842869","0.71244557634584","0.932121089146876","0.675615400749846","45.0221593881768","0.855165486299089","0.761117951825107","0.618669109261705","0.238882048174893","44.7217695920441","0.719460659671251","0.975520195838433","34.0385416738909","0.215095834215349"
"Kidney_L_mask_RPAT_Cervix0070.mat","68/192","999.077739276","106.64108","17.9963377003513","1.99046768491369","15.0795104667392","21.9770777889631","18.1015578881559","0.686147203533683","0.958636473908126","0.67179092145774","43.2167990344496","0.902020226497655","0.75","0.602819720199592","0.25","43.2143397407347","0.713316475734559","0.977165883143049","32.410754805551","0.278869807301962"
"Kidney_L_mask_RPAT_Cervix0070.mat","69/192","775.916044936","93.7504","15.8786095311424","1.81108673399784","13.1747928202933","19.5283350435303","15.9777279199301","0.674650081070692","0.954955013846338","0.663642301362876","38.2614782107331","0.891436368590803","0.740527231277134","0.592261682495854","0.259472768722866","38.2496077375101","0.716175941831174","0.968294772922022","28.3248761152948","0.265877154370381"
